year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2040,0.08180916477470929,0.04575482803377994,2.5520721960455015,0.6080773733761262,0.33776601830098824,0.7159363231171201,0.10114934035091408,1.4792659132032544,0.13681762067945094,0.11270374755501136,0.12995322303627174,0.807274775961927,0.28786758762156317,0.02708678192234291,0.02591796382580371,0.22557450839261728,1.7615050396917125,0.03411704697711455,1.8833006168724569,0.0028171399020772547,0.3597242362234076,0.02048538834998044,0.03043138664524563,0.7201372886095768,0.24494707135057944,0.4232609582698083,0.48815200807830333,0.1292073919285684,0.18878768887633895,0.10442850413915974,0.0676949619619735,0.03272166711083096
2041,0.06550664936541646,0.03591298807449239,2.3663378060577145,0.5551780936271627,0.304701966759356,0.6507001259514983,0.08134077192560611,1.403788575843087,0.1091434389584246,0.09262174741896399,0.10942973798081794,0.7884452417492936,0.2515892320673062,0.016496237287990382,0.017193030722877273,0.19871989410173457,1.5420979229690561,0.024282133360786932,1.6040772396884269,0.0017583601889462003,0.3274070124826249,0.012363601192182872,0.019074556173671937,0.6392613850497079,0.2111241155593242,0.3768082250818708,0.43210599609930905,0.09940049996078007,0.16202670293014018,0.08566554768815203,0.05283763872036721,0.02325691497212306
2042,0.051840714720135704,0.027947383373245156,2.1596127329914476,0.5015690063033087,0.2723607677084354,0.5852432406514559,0.06457660595679485,1.3197172109459339,0.08540418229958033,0.07527015818391738,0.0914828811721354,0.7676486146659146,0.2182651489145754,0.009447903126110161,0.010765237900423672,0.17396541094874873,1.3324162667262551,0.01679587493989912,1.3459026881386138,0.0010783884779734828,0.2969879939367312,0.007021666143810587,0.011305532848820054,0.5616060021516079,0.17957084175472962,0.3322524099887409,0.37861506729580324,0.07423933197798052,0.13772421422300268,0.06957992152721734,0.040654546599876225,0.016105203124564954
2043,0.04052873472291453,0.021561092321322865,1.9417897576861323,0.4478625595178501,0.2406023640382089,0.520857844199338,0.0505865259601565,1.230339610897514,0.06545996066735765,0.06045359231455237,0.07591780486140937,0.7448084323065566,0.1876988484959497,0.005061231892789045,0.006274793712765716,0.15131836383145686,1.1390876592327712,0.011251282564189058,1.1163242967673153,0.0006497952806228169,0.2683110621509734,0.0037249532152623483,0.006277109346393683,0.4888631178722538,0.15048682978492645,0.29018635646504626,0.32836419034086023,0.053733132551121096,0.11587425891355246,0.05594452006443872,0.03081218700091457,0.010829682806397619
2044,0.03128625438208842,0.016489391472510145,1.7221880543710064,0.3947395380038703,0.20953110166064237,0.4586749796308344,0.03907920247012645,1.138580507441398,0.0490738146458386,0.04795658173769188,0.06253052871211699,0.7197049303671107,0.15970624964719948,0.0025208579815296076,0.0033519309736005434,0.1307466447971026,0.9661356708199574,0.00727143534747067,0.919011977465046,0.0003846624075725944,0.24122891667554233,0.001830774700749183,0.0032274451804496615,0.42216490262795525,0.12402472727291214,0.2510914188074237,0.2818238685891215,0.037599282218327125,0.09643916190751606,0.04451683056428931,0.022983604418047098,0.007043981725881293
2045,0.023835342732169505,0.01249992910712111,1.50879847595845,0.3429407806862924,0.17945499027557799,0.3996296779237507,0.02975448972722009,1.0469103077097832,0.03592849262785473,0.037550951206424044,0.05111373598563131,0.6921413360855595,0.13416557976742602,0.0011593642791436316,0.0016124209362538544,0.11219067838543405,0.8151563962489877,0.004515065649139757,0.7542413283532575,0.00022369416318446158,0.2155968313251148,0.0008262011337889491,0.0015156122177475784,0.36212200674974443,0.10030263652721876,0.21531425376180272,0.23927201015132488,0.025343527506472265,0.07935002074879054,0.035050100579604074,0.016857570725636435,0.004412746756979564
2046,0.01791147325150218,0.009391733195254628,1.3079909752379326,0.29324325754101027,0.1508190031226624,0.34443931816310525,0.022314408680254878,0.9573398584812235,0.025647654604038207,0.02900288642220944,0.04145886257525331,0.6619917404989092,0.11103153895788816,0.000488331096411518,0.000685277741321063,0.0955831298528927,0.685804562806492,0.0026818350783369923,0.6197116223878513,0.0001277829032510206,0.19138198890097582,0.0003390293021163939,0.0006396341518293113,0.3088867295081261,0.07940846650601374,0.18303811035326445,0.2008293430618506,0.016364523418323344,0.06450603782284867,0.02729889654468151,0.01214553736347906,0.002650218117280799
2047,0.013268857156479389,0.006993326174705143,1.1243611195111871,0.24641933428670038,0.1241240315224649,0.29360540217421716,0.01647248243604831,0.871377386129329,0.01782070276830253,0.02207956880515781,0.03336372676157963,0.6295105385205595,0.09031912465380013,0.00018652807913180545,0.0002526917809171862,0.08083027353204027,0.5763637637733255,0.0015168023895691294,0.5114906456347289,7.169800856746747e-05,0.16851895513362136,0.00012517370903575214,0.00023814723292960648,0.26225740097069955,0.06139052303002232,0.15430035273747103,0.16649886853612114,0.010044045677176877,0.05177836100561481,0.02102623803659146,0.008586435114560646,0.0015185268343652762
2048,0.009684188707134812,0.005160441534132895,0.9603061211332669,0.20318256253108424,0.09984447948544202,0.2474269803691836,0.011961152637545557,0.789795243996171,0.012028955444502951,0.01655502407657739,0.026634577589774028,0.5942560362512693,0.07206871945546212,6.384970726762585e-05,8.010585928839836e-05,0.06782752391499797,0.4843111184432961,0.0008129737447961886,0.42490812893449414,3.951226633071834e-05,0.14700995886934515,4.1112606566533535e-05,7.659259704992957e-05,0.22176602601331488,0.04623687556006839,0.12900181484801065,0.1362010630704027,0.005801516738498197,0.041012993407703285,0.016010795387411843,0.00594950856114958,0.0008259150968527183
2049,0.006958911070216246,0.0037732360149437877,0.8167562283578669,0.16413153798397914,0.07835712413609507,0.2060315688715905,0.00853711201716271,0.7130462585133438,0.00787000893442325,0.012215118739488119,0.02108940405768407,0.556315701197321,0.05630550407450002,1.931375418412573e-05,2.2309813983644037e-05,0.056442898332514736,0.4068413892717041,0.00041088273902821563,0.35529310363778954,2.1385638354321876e-05,0.126894114838348,1.1864948366065443e-05,2.077562722396245e-05,0.18679366712931628,0.033853195767588246,0.10694452349908645,0.109799600800371,0.003116375353894906,0.032036365515586654,0.012049279592608734,0.004035432752388028,0.0004241847548100735
2050,0.00492010347464087,0.002733596899973258,0.693818336208441,0.12969820955162212,0.059891425636011734,0.16940528023718618,0.005984694326028739,0.641646948190405,0.004977301166424804,0.008861567348918846,0.01655985267389372,0.5180554121293875,0.04300433292607975,5.079404192080051e-06,5.992412537405444e-06,0.0465879227087905,0.3413018407244533,0.00019481327353225043,0.2985140551056992,1.1367207473277312e-05,0.10822774279477335,2.968384958494892e-06,4.624471258353229e-06,0.1566834924015792,0.02405088503554492,0.08786881177051205,0.08711587084090079,0.0015362068281775908,0.02466448435461616,0.008956348707556554,0.0026759839329236444,0.00020462113368829385
