year,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
2030,0.5281962005286907,0.31235916900343885,2.3328266989358055,0.49946110815494044,1.3938630936201433,1.5463898414785509,0.5070774720830955,0.535164090857003,1.3565184678166424,0.9989421587567078,0.6889355349364845,0.9603256098453453,0.6504289879120434,1.2204527291918148,1.392671617142983,0.3631192771023325,0.889954937786941,0.6863292536350135,0.3797555119621535,3.6962438940848696,0.1495148386872738,2.3397231915455112,1.5334964676591025,0.6549793882851533,0.9454608729226741,2.6586940223661086,1.0703815585921408,2.07291051616102,0.7590292923327899,0.6807279913921206,1.5060391857948634,0.4035848124626312
2031,0.464885510256131,0.2605459629995336,2.6689117869234247,0.4314963427917589,1.3271789998308767,1.6194476251866843,0.45492596115868333,0.4710336008848916,1.4422643945052274,0.9983939493152802,0.6399756435376565,0.9430423086480612,0.5912403479473503,1.2187642479386893,1.362583061245582,0.2758702313972253,0.8447661990688378,0.6414429285098844,0.30161203234352685,4.257583144878198,0.11094993282408196,2.671388600970012,1.5272805170696189,0.5785879592670538,0.9172334249069772,2.849541902442759,1.0436543124350606,2.1583133853320846,0.7133625009446652,0.6149856537687686,1.5407451693799679,0.3234183891238137
2032,0.4035908009625418,0.21508740653593691,3.0350481282945694,0.3663893745839704,1.2427278423631851,1.6800370996782577,0.40528855768134264,0.4087405148337043,1.5347521784354223,0.9976183921256346,0.5899073432909945,0.9205767039335885,0.5307558098534368,1.2098510899948227,1.3124956024440253,0.19840259274628969,0.7881690683914121,0.5960750155902944,0.23196357664258746,4.792053473424693,0.0808986509589977,3.016903859544179,1.5018445248733492,0.4986241104886812,0.8787510062369087,2.9890991603446997,1.0128930732141623,2.215867530724387,0.6652987715385159,0.5471135752789735,1.5548456725770543,0.2508535628339426
2033,0.3454029953998489,0.1757329031079464,3.418089585973147,0.3055103490023227,1.1475606398307223,1.7231308878668956,0.35848877145115604,0.34946073417561274,1.6306416709961242,0.9965433192330806,0.5393498720330749,0.8921345484630553,0.4701539466200265,1.1937219309557316,1.2456310755426714,0.13496711118339022,0.7199277369793373,0.5506572263582121,0.1725318927180418,5.253613281790734,0.05795759105522846,3.354203206831728,1.4586684791648472,0.41799500133836687,0.8282124362002379,3.063856948413503,0.9797987878885156,2.2416032023534274,0.6154938273014868,0.4789680238966743,1.545739015892669,0.1879997107011044
2034,0.2912426849721234,0.14210376147035111,3.800718701204026,0.24996071395433317,1.0487826164326708,1.7445654854157595,0.3147781583104635,0.2941976536554029,1.7256305358863901,0.9950805263068635,0.4889394265334381,0.8570269305455033,0.4106316439726826,1.1705735129962644,1.166260731380404,0.08729707441612758,0.6408771175177217,0.5056166247562524,0.12401310976852177,5.597352138436467,0.04079597256884273,3.6572423440765323,1.4002641058266292,0.3398191511943213,0.7643760188477019,3.0655754441710683,0.94566123110849,2.233336533544115,0.5646515803340273,0.4122488304116938,1.5126820445291829,0.1359649672701816
2035,0.24182015160132095,0.1137311287829432,4.162453492117926,0.20051501627095783,0.9525608824459053,1.7415153666975165,0.27433525361446454,0.24373465988932302,1.8146943039539667,0.9931238302329782,0.43930682334071486,0.8147578388095342,0.3533376792205615,1.1407622975742595,1.0790229653908556,0.054257780731367604,0.5531622057873549,0.461365180231211,0.08612342605164983,5.7865278865119825,0.028212730683883188,3.898968768430482,1.3299001586325148,0.26708023101510575,0.6870442863810466,2.9926225226240493,0.9111780494940095,2.190884896512472,0.5134992445132669,0.3483969747298215,1.456873185518061,0.09482386556102172
2036,0.19761205611365054,0.0900909669540161,4.481273596791258,0.15759465768936215,0.8634271718902335,1.7128173798116406,0.2372667605308352,0.19860600067055606,1.8924621303350138,0.9905472241533001,0.39105543245398106,0.7651217237405105,0.2993081073235761,1.1047671319836,0.9882529067462849,0.03275140537542787,0.46029280845378445,0.4182894185637536,0.05780329486887656,5.798910707598901,0.01916799425802516,4.055080492911528,1.2512621095349752,0.20227374714283092,0.597569378929303,2.850335291983992,0.8764041586772413,2.116077479138572,0.46276127305660214,0.2885939756942453,1.3812416911619498,0.06376329164432588
2037,0.15885607237606425,0.07063468554321306,4.735718175690749,0.12127505122653294,0.7839689256528568,1.6590896575009322,0.20361085769939674,0.15908793754418765,1.9536954785031053,0.9872032375089501,0.34474057433779415,0.7083011474188027,0.2494095938127061,1.0631472409622214,0.8974608770036022,0.01921769574071757,0.3669120253717045,0.376741492028983,0.03751580620816367,5.630916010319784,0.012793658085903107,4.10787929255323,1.1680932189823805,0.14711537684093018,0.4992218896646143,2.650288413629401,0.8408220250653252,2.012558088897385,0.4131335121323522,0.23380477579054784,1.2899835970837525,0.04135738709429
2038,0.12556280650929372,0.054814603120178766,4.907193450439702,0.09132301155446229,0.7148988035148801,1.5826245882995873,0.17334233646607158,0.1252097643072089,1.9938128476724715,0.9829216397108875,0.300851624476673,0.6449498777234545,0.20429623794430196,1.016500543578645,0.8090502910732907,0.01078539359380683,0.2782306231170984,0.3370335104329918,0.02355739440099428,5.298458472131634,0.008388458388747444,4.049375466594572,1.0838631927275049,0.10237614728305465,0.39720737432679454,2.4085889109326724,0.8035020981799706,1.8854075123603393,0.36525899387715005,0.18479032017680044,1.1879403928713137,0.025891451530076656
2039,0.09754254761141469,0.04210391527189566,4.982150670216392,0.06725727838202371,0.6554112837502741,1.4870760895686492,0.14637923593176,0.09678206960048143,2.0093872105844732,0.9775086615676031,0.25979746118292585,0.5762430031674083,0.1643840220606116,0.9654274615667909,0.7242998985584737,0.005611157756089688,0.19918691934763777,0.29942805913694237,0.014310350849571689,4.834259027098305,0.005402836354740841,3.882883145490303,1.0015024333685474,0.06788359570417886,0.2981302715906574,2.1435339655348984,0.763314263368635,1.7406386201426682,0.3197067099625791,0.14206603974365556,1.0799487757049953,0.015653454455260965
