year,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
2035,7464.852270774829,7505.804725420768,7778.108624860123,7617.501079965438,7658.4217639266835,7541.536122390663,7624.9065948726175,7241.078315969765,7407.871645054812,7449.496143326387,7482.919568464361,7522.441132671668,7547.034428277789,7746.410891708714,7388.174844135713,7541.961538772451,7731.425838617716,7386.48465021509,7595.211735858756,7364.291162201651,7768.856052122436,7551.9844334073405,7403.243726511587,7536.010310157829,7628.3385002158675,7598.856968283195,7642.290437047943,7567.895152416175
2036,7394.802643657653,7435.370803467817,7705.119423053482,7546.019007600075,7586.555694859325,7470.766899624871,7553.355029697613,7173.128567259291,7338.356719957154,7379.590616984779,7412.70039914859,7451.851095891226,7476.21360981215,7673.719139108993,7318.8447523756395,7471.1883239304825,7658.874704658965,7317.170419111008,7523.938825066419,7295.185193164035,7695.953675780874,7481.117164456015,7333.772229462673,7465.292941209419,7556.754730292412,7527.5498508966975,7570.575743170845,7496.878578442686
2037,7324.753016540476,7364.936881514865,7632.130221246841,7474.5369352347125,7514.689625791966,7399.9976768590805,7481.803464522608,7105.178818548818,7268.841794859496,7309.685090643172,7342.481229832819,7381.261059110783,7405.392791346512,7601.027386509271,7249.514660615567,7400.415109088514,7586.323570700213,7247.8561880069265,7452.665914274082,7226.079224126418,7623.05129943931,7410.24989550469,7264.300732413758,7394.57557226101,7485.170960368958,7456.242733510201,7498.861049293748,7425.862004469198
2038,7254.703389423299,7294.502959561913,7559.1410194402,7403.05486286935,7442.8235567246065,7329.22845409329,7410.251899347602,7037.229069838345,7199.326869761838,7239.779564301564,7272.262060517048,7310.671022330342,7334.571972880874,7528.33563390955,7180.184568855493,7329.641894246547,7513.772436741461,7178.5419569028445,7381.393003481744,7156.973255088802,7550.148923097747,7339.382626553366,7194.829235364844,7323.8582033126,7413.5871904455025,7384.935616123704,7427.14635541665,7354.8454304957095
2039,7184.653762306122,7224.0690376089615,7486.1518176335585,7331.572790503987,7370.957487657248,7258.459231327499,7338.700334172598,6969.279321127871,7129.8119446641795,7169.874037959957,7202.042891201278,7240.080985549899,7263.751154415235,7455.643881309828,7110.8544770954195,7258.868679404579,7441.221302782709,7109.227725798763,7310.120092689407,7087.867286051185,7477.246546756184,7268.515357602041,7125.35773831593,7253.140834364191,7342.003420522048,7313.628498737207,7355.431661539553,7283.828856522221
2040,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2041,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2042,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2043,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2044,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2045,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2046,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2047,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2048,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2049,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
2050,7114.604135188945,7153.6351156560095,7413.162615826916,7260.090718138624,7299.091418589889,7187.690008561707,7267.148768997593,6901.329572417398,7060.297019566521,7099.968511618349,7131.8237218855065,7169.490948769457,7192.930335949596,7382.952128710107,7041.524385335346,7188.095464562611,7368.670168823958,7039.913494694681,7238.847181897069,7018.761317013569,7404.344170414621,7197.648088650716,7055.886241267015,7182.423465415782,7270.419650598593,7242.32138135071,7283.716967662454,7212.8122825487335
