year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2030,0.5281962005286907,0.3123591690034389,2.332826698935805,1.2204527291918148,1.393863093620143,1.5463898414785509,0.535164090857003,1.3565184678166422,0.9603256098453453,0.6504289879120434,0.5070774720830955,0.9989421587567078,1.392671617142983,0.889954937786941,0.3631192771023325,0.6863292536350135,2.3397231915455112,0.3797555119621535,3.69624389408487,0.1495148386872738,1.5334964676591025,0.6549793882851533,0.9454608729226741,2.658645750242413,1.070381558592141,2.0729105161610204,1.5060391857948636,0.6807279913921205,0.6889355349364845,0.7590292923327898,0.4994611081549404,0.40358481246263117
2031,0.46488551025613106,0.2605459629995336,2.6689117869234242,1.2187642479386893,1.3271789998308767,1.6194476251866843,0.4710336008848916,1.4422643945052274,0.943042308648061,0.5912403479473503,0.45492596115868333,0.9983939493152802,1.362583061245582,0.8447661990688379,0.2758702313972253,0.6414429285098843,2.671388600970012,0.30161203234352685,4.257583144878198,0.11094993282408194,1.5272805170696189,0.5785879592670538,0.9172334249069772,2.849488419234639,1.0436543124350606,2.158313385332085,1.540745169379968,0.6149856537687686,0.6399756435376565,0.7133625009446652,0.43149634279175897,0.3234183891238137
2032,0.4035908009625418,0.21508740653593691,3.0350481282945694,1.2098510899948227,1.2427278423631853,1.6800370996782579,0.4087405148337043,1.5347521784354223,0.9205767039335884,0.5307558098534367,0.40528855768134264,0.9976183921256346,1.3124956024440253,0.7881690683914122,0.19840259274628969,0.5960750155902945,3.016903859544179,0.23196357664258743,4.792053473424693,0.0808986509589977,1.5018445248733492,0.4986241104886812,0.8787510062369087,2.989042026900746,1.0128930732141623,2.2158675307243874,1.5548456725770545,0.5471135752789735,0.5899073432909945,0.6652987715385158,0.3663893745839704,0.2508535628339426
2033,0.3454029953998489,0.1757329031079464,3.4180895859731466,1.1937219309557316,1.1475606398307223,1.7231308878668956,0.34946073417561274,1.6306416709961242,0.8921345484630553,0.4701539466200265,0.358488771451156,0.9965433192330807,1.2456310755426714,0.7199277369793373,0.13496711118339022,0.5506572263582121,3.354203206831728,0.1725318927180418,5.253613281790735,0.05795759105522846,1.4586684791648472,0.41799500133836687,0.8282124362002379,3.0637980888528062,0.9797987878885155,2.2416032023534274,1.5457390158926692,0.4789680238966743,0.5393498720330749,0.6154938273014867,0.30551034900232266,0.18799971070110438
2034,0.2912426849721234,0.14210376147035114,3.8007187012040258,1.1705735129962644,1.0487826164326708,1.7445654854157595,0.2941976536554029,1.7256305358863901,0.8570269305455033,0.41063164397268254,0.3147781583104635,0.9950805263068636,1.166260731380404,0.6408771175177217,0.08729707441612757,0.5056166247562524,3.6572423440765323,0.12401310976852178,5.5973521384364675,0.04079597256884273,1.4002641058266292,0.3398191511943213,0.7643760188477019,3.065516985014356,0.94566123110849,2.233336533544115,1.5126820445291829,0.4122488304116938,0.48893942653343814,0.5646515803340273,0.2499607139543332,0.1359649672701816
2035,0.24182015160132092,0.1137311287829432,4.162453492117926,1.1407622975742595,0.9525608824459053,1.7415153666975167,0.24373465988932302,1.8146943039539667,0.8147578388095341,0.3533376792205614,0.27433525361446454,0.9931238302329782,1.0790229653908556,0.5531622057873549,0.054257780731367604,0.461365180231211,3.898968768430482,0.08612342605164983,5.7865278865119825,0.028212730683883188,1.3299001586325145,0.26708023101510575,0.6870442863810466,2.99256659817366,0.9111780494940094,2.1908848965124714,1.456873185518061,0.3483969747298215,0.4393068233407148,0.5134992445132669,0.20051501627095783,0.09482386556102172
2036,0.19761205611365054,0.0900909669540161,4.481273596791258,1.1047671319836,0.8634271718902335,1.7128173798116406,0.19860600067055606,1.8924621303350138,0.7651217237405105,0.2993081073235761,0.23726676053083517,0.9905472241533001,0.9882529067462849,0.46029280845378456,0.03275140537542787,0.41828941856375357,4.055080492911528,0.05780329486887656,5.798910707598901,0.01916799425802516,1.2512621095349752,0.20227374714283092,0.597569378929303,2.850283845120459,0.8764041586772413,2.116077479138572,1.3812416911619498,0.2885939756942453,0.39105543245398106,0.46276127305660214,0.15759465768936215,0.06376329164432588
2037,0.15885607237606425,0.07063468554321306,4.7357181756907485,1.0631472409622211,0.7839689256528568,1.6590896575009322,0.15908793754418765,1.9536954785031055,0.7083011474188027,0.2494095938127061,0.20361085769939674,0.9872032375089502,0.8974608770036022,0.36691202537170453,0.01921769574071757,0.37674149202898294,4.107879292553231,0.03751580620816367,5.630916010319784,0.012793658085903107,1.1680932189823805,0.14711537684093018,0.4992218896646142,2.650243023244779,0.8408220250653252,2.0125580888973853,1.2899835970837525,0.23380477579054784,0.34474057433779415,0.4131335121323522,0.12127505122653294,0.04135738709429
2038,0.1255628065092937,0.05481460312017877,4.907193450439701,1.016500543578645,0.7148988035148801,1.5826245882995873,0.1252097643072089,1.9938128476724717,0.6449498777234544,0.20429623794430196,0.1733423364660716,0.9829216397108875,0.8090502910732907,0.27823062311709845,0.01078539359380683,0.3370335104329918,4.049375466594572,0.02355739440099428,5.298458472131635,0.008388458388747444,1.0838631927275049,0.10237614728305466,0.39720737432679454,2.408550672439427,0.8035020981799706,1.8854075123603395,1.1879403928713137,0.18479032017680042,0.300851624476673,0.36525899387715,0.09132301155446229,0.025891451530076652
2039,0.09754254761141469,0.04210391527189566,4.982150670216392,0.965427461566791,0.6554112837502741,1.4870760895686492,0.09678206960048144,2.0093872105844732,0.5762430031674083,0.16438402206061156,0.14637923593175997,0.9775086615676031,0.7242998985584737,0.1991869193476378,0.005611157756089688,0.2994280591369423,3.882883145490303,0.014310350849571689,4.834259027098305,0.005402836354740841,1.0015024333685474,0.06788359570417886,0.29813027159065736,2.1435034402056696,0.763314263368635,1.7406386201426682,1.0799487757049953,0.14206603974365553,0.25979746118292585,0.3197067099625791,0.06725727838202372,0.015653454455260965
