node,year_construction,capacity_existing_energy
IE,2011,6.182738083394386e-06
IE,2021,0.008490960301194958
IE,2022,0.006438119514783482
IE,2023,0.015063937518723577
IE,2024,0.01650388346941199
IT,2011,0.001
IT,2012,0.0029599999999999995
IT,2013,0.0014100000000000002
IT,2014,0.042989999999999993
IT,2015,0.25771999999999995
IT,2016,0.031
IT,2017,0.0475
IT,2018,0.057
IT,2019,0.098
IT,2020,0.1
IT,2021,0.43460000000000004
IT,2022,1.504
IT,2023,3.337
IT,2024,2.7720973991325657
LT,2006,3.739269427073155e-06
LT,2011,2.804452070304866e-06
LT,2021,0.0038514475098853506
LT,2022,0.0029202915210977368
LT,2023,0.006832909657744057
LT,2024,0.007486060308485871
LU,2010,1.5683175063089195e-06
LU,2015,6.571250351434373e-05
LU,2017,0.00025254827850226873
LU,2018,0.0008689361619552711
LU,2019,0.0007936181292020847
LU,2020,0.0036819320651411054
LU,2021,0.001862882036978874
LU,2022,0.0046132059448076865
LU,2023,0.007759384169451413
LU,2024,0.012393271866847072
LV,2006,2.093519230272047e-06
LV,2011,1.570139422704035e-06
LV,2021,0.002156324807180209
LV,2022,0.0016349949038585048
LV,2023,0.003825567546331
LV,2024,0.004191249526263369
NL,2010,3.6618454850545724e-05
NL,2015,0.001534313258237866
NL,2017,0.005896719061488794
NL,2018,0.02028868484000587
NL,2019,0.018530093246970872
NL,2020,0.08596898430819955
NL,2021,0.04349620627748494
NL,2022,0.10771318494288024
NL,2023,0.18117291794173723
NL,2024,0.2893689986122532
NO,2006,3.509390841696705e-05
NO,2011,2.6320431312725284e-05
NO,2021,0.03614672566947607
NO,2022,0.027407611350559243
NO,2023,0.06412843750014922
NO,2024,0.07025840742252443
PL,2021,0.006447317738851398
PL,2022,0.03202490255779653
PL,2023,0.06569361181355335
PL,2024,0.16217465160408362
PT,2005,0.00010164055316317145
PT,2012,0.000293063594953811
PT,2013,0.000984219356463377
PT,2016,0.0006166193558565735
PT,2017,0.00018464700491309483
PT,2018,0.00016940092193861909
PT,2019,0.0008470046096930954
PT,2020,0.0019481106022941194
PT,2021,0.020407997397005793
PT,2022,0.032999934847100273
PT,2023,0.05509627559555662
PT,2024,0.08337042700845296
RO,2021,0.002373779303151609
RO,2022,0.011790957721697077
RO,2023,0.024187133687019177
RO,2024,0.05970961058019441
SE,2006,3.770726967930594e-05
SE,2011,2.8280452259479456e-05
SE,2021,0.03883848776968513
SE,2022,0.029448592051419625
SE,2023,0.06890393222094199
SE,2024,0.07549038666319736
SI,2021,0.0004864757594953339
SI,2022,0.002416406236765309
SI,2023,0.004956844225065824
SI,2024,0.01223672230927506
SK,2021,0.0010603656207329344
SK,2022,0.005267012896693278
SK,2023,0.010804376376411821
SK,2024,0.026672242951368375
UK,2011,0.00269
UK,2012,0.00269
UK,2013,0.016900000000000002
UK,2014,0.00916
UK,2015,0.00078
UK,2016,0.046759999999999996
UK,2017,0.24645999999999998
UK,2018,0.28968
UK,2019,0.56065
UK,2020,0.39856847583643124
UK,2021,0.5926860799999999
UK,2022,0.85575
UK,2023,1.3815172138255334
UK,2024,1.8850469169219337
