node,year_construction,capacity_existing_energy
LU,2019,0.000793618129202
LU,2020,0.0036819320651411
LU,2021,0.0018628820369788
LU,2022,0.0046132059448076
LU,2023,0.0077593841694514
LU,2024,0.012393271866847
LV,2006,2.093519230272047e-06
LV,2011,1.570139422704035e-06
LV,2021,0.0021563248071802
LV,2022,0.0016349949038585
LV,2023,0.003825567546331
LV,2024,0.0041912495262633
NL,2010,3.661845485054573e-05
NL,2015,0.0015343132582378
NL,2017,0.0058967190614887
NL,2018,0.0202886848400058
NL,2019,0.0185300932469708
NL,2020,0.0859689843081995
NL,2021,0.0434962062774849
NL,2022,0.1077131849428802
NL,2023,0.1811729179417372
NL,2024,0.2893689986122532
NO,2006,3.509390841696705e-05
NO,2011,2.6320431312725284e-05
NO,2021,0.036146725669476
NO,2022,0.0274076113505592
NO,2023,0.0641284375001492
NO,2024,0.0702584074225244
PL,2021,0.0064473177388513
PL,2022,0.0320249025577965
PL,2023,0.0656936118135533
PL,2024,0.1621746516040836
PT,2005,0.0001016405531631
PT,2012,0.0002930635949538
PT,2013,0.0009842193564633
PT,2016,0.0006166193558565
PT,2017,0.000184647004913
PT,2018,0.0001694009219386
PT,2019,0.000847004609693
PT,2020,0.0019481106022941
PT,2021,0.0204079973970057
PT,2022,0.0329999348471002
PT,2023,0.0550962755955566
PT,2024,0.0833704270084529
RO,2021,0.0023737793031516
RO,2022,0.011790957721697
RO,2023,0.0241871336870191
RO,2024,0.0597096105801944
SE,2006,3.770726967930594e-05
SE,2011,2.8280452259479456e-05
SE,2021,0.0388384877696851
SE,2022,0.0294485920514196
SE,2023,0.0689039322209419
SE,2024,0.0754903866631973
SI,2021,0.0004864757594953
SI,2022,0.0024164062367653
SI,2023,0.0049568442250658
SI,2024,0.012236722309275
SK,2021,0.0010603656207329
SK,2022,0.0052670128966932
SK,2023,0.0108043763764118
SK,2024,0.0266722429513683
UK,2011,0.00269
UK,2012,0.00269
UK,2013,0.0169
UK,2014,0.00916
UK,2015,0.00078
UK,2016,0.0467599999999999
UK,2017,0.2464599999999999
UK,2018,0.28968
UK,2019,0.56065
UK,2020,0.3985684758364312
UK,2021,0.5926860799999999
UK,2022,0.85575
UK,2023,1.3815172138255334
UK,2024,1.8850469169219335
